Family,Family_present,Genus,Genus_present,Species,Species_present,metabarcoding_reads
Aphididae,TRUE,Nasonovia,TRUE,Nasonovia ribisnigri,TRUE,9
Aphididae,TRUE,Rhopalosiphum,TRUE,Rhopalosiphum rufiabdominalis,FALSE,699
Araneidae,TRUE,Plebs,TRUE,Plebs eburnus,TRUE,13
Braconidae,TRUE,Asobara,TRUE,Asobara persimilis,TRUE,57088
Braconidae,TRUE,Habrobracon,TRUE,Habrobracon hebetor,FALSE,9605
Calliphoridae,TRUE,Calliphora,TRUE,Calliphora ochracea,TRUE,2577475
Chironomidae,TRUE,Procladius,TRUE,Procladius paludicola,TRUE,6336
Culicidae,TRUE,Culex,TRUE,Culex quinquefasciatus,TRUE,76
Curculionidae,TRUE,Asynonychus,FALSE,Asynonychus cervinus,TRUE,1702960
Desidae,TRUE,Badumna,TRUE,Badumna longinqua,TRUE,88412
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila biarmipes,FALSE,316495
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila buzzatii,TRUE,2044786
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila hydei,TRUE,123646
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila immigrans,TRUE,489419
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila koepferae,FALSE,10704
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila melanogaster,TRUE,10748936
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila repleta,TRUE,2213
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila simulans,TRUE,58215317
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila subpulchrella,FALSE,88806
Drosophilidae,TRUE,Drosophila,TRUE,Drosophila suzukii,FALSE,252314
Drosophilidae,TRUE,Scaptodrosophila,TRUE,Scaptodrosophila lattivitata,FALSE,11028151
Ectopsocidae,TRUE,Ectopsocus,TRUE,Ectopsocus meridionalis,FALSE,20
Elateridae,TRUE,Alaus,FALSE,Alaus melanops,FALSE,60315
Elateridae,TRUE,Conoderus,FALSE,Conoderus exsul,FALSE,1625183
Ephydridae,TRUE,Hydrellia,TRUE,Hydrellia tritici,TRUE,51635
Figitidae,TRUE,Leptopilina,TRUE,Leptopilina boulardi,TRUE,758
Formicidae,TRUE,Iridomyrmex,TRUE,Iridomyrmex anceps,TRUE,10669
Formicidae,TRUE,Iridomyrmex,TRUE,Iridomyrmex suchieri,TRUE,14650
Formicidae,TRUE,Nylanderia,TRUE,Nylanderia tasmaniensis,TRUE,31658
Formicidae,TRUE,Nylanderia,TRUE,Nylanderia tasmaniensis/braueri,FALSE,153
Formicidae,TRUE,Rhytidoponera,TRUE,Rhytidoponera metallica,TRUE,653
Geometridae,TRUE,Zermizinga,TRUE,Zermizinga sinuata,TRUE,1196
Gryllidae,TRUE,Teleogryllus,TRUE,Teleogryllus commodus,TRUE,7
Hemerobiidae,TRUE,Micromus,TRUE,Micromus tasmaniae,TRUE,491986
Linyphiidae,TRUE,Tenuiphantes,FALSE,Tenuiphantes tenuis,FALSE,17
Lonchaeidae,TRUE,Lamprolonchaea,TRUE,Lamprolonchaea brouniana,TRUE,2137
Nitidulidae,TRUE,Brachypeplus,TRUE,Brachypeplus Sp,FALSE,258390
Nitidulidae,TRUE,Carpophilus,TRUE,Carpophilus davidsoni,TRUE,3572563
Nitidulidae,TRUE,Carpophilus,TRUE,Carpophilus hemipterus,TRUE,223186
Nitidulidae,TRUE,Epuraea,TRUE,Epuraea signata,FALSE,31
Nitidulidae,TRUE,Urophorus,TRUE,Urophorus humeralis,TRUE,647977
Oxycarenidae,TRUE,Oxycarenus,TRUE,Oxycarenus luctuosus,TRUE,168
Pemphigidae,FALSE,Tetraneura,TRUE,Tetraneura nigriabdominalis,TRUE,4592
Phoridae,TRUE,Megaselia,TRUE,Megaselia spiracularis,TRUE,433
Sarcophagidae,TRUE,Sarcophaga,TRUE,Sarcophaga assimilis,TRUE,1428352
Sarcophagidae,TRUE,Sarcophaga,TRUE,Sarcophaga furcata,TRUE,2482
Scatopsidae,TRUE,Coboldia,TRUE,Coboldia fuscipes,TRUE,928968
Simuliidae,TRUE,Simulium,TRUE,Simulium ornatipes,TRUE,2946
Staphylinidae,TRUE,Paraphloeostiba,TRUE,Paraphloeostiba gayndahensis,TRUE,33922
Tephritidae,TRUE,Bactrocera,TRUE,Bactrocera tryoni,TRUE,1548670
Thripidae,TRUE,Frankliniella,TRUE,Frankliniella schultzei,TRUE,272
Thripidae,TRUE,Thrips,TRUE,Thrips tabaci,TRUE,17
Tortricidae,TRUE,Epiphyas,TRUE,Epiphyas postvittana,TRUE,3529151
Trogiidae,TRUE,Cerobasis,TRUE,Cerobasis guestfalica,TRUE,9
