Family,Genus,Species,Species_present,ALA_counts,metabarcoding_reads
Aphididae,Nasonovia,Nasonovia ribisnigri,TRUE,2,9
Aphididae,Rhopalosiphum,Rhopalosiphum rufiabdominalis,FALSE,0,699
Araneidae,Plebs,Plebs eburnus,TRUE,822,13
Braconidae,Asobara,Asobara persimilis,TRUE,56,57088
Braconidae,Habrobracon,Habrobracon hebetor,FALSE,0,9605
Calliphoridae,Calliphora,Calliphora ochracea,TRUE,56,2577475
Chironomidae,Procladius,Procladius paludicola,FALSE,0,6336
Culicidae,Culex,Culex quinquefasciatus,TRUE,377,76
Curculionidae,Asynonychus,Asynonychus cervinus,TRUE,179,1702960
Desidae,Badumna,Badumna longinqua,TRUE,156,88412
Drosophilidae,Drosophila,Drosophila biarmipes,FALSE,0,316495
Drosophilidae,Drosophila,Drosophila buzzatii,TRUE,109,2044786
Drosophilidae,Drosophila,Drosophila hydei,FALSE,0,123646
Drosophilidae,Drosophila,Drosophila immigrans,TRUE,6,489419
Drosophilidae,Drosophila,Drosophila koepferae,FALSE,0,10704
Drosophilidae,Drosophila,Drosophila melanogaster,TRUE,1,10748936
Drosophilidae,Drosophila,Drosophila repleta,FALSE,0,2213
Drosophilidae,Drosophila,Drosophila simulans,TRUE,5,58215317
Drosophilidae,Drosophila,Drosophila subpulchrella,FALSE,0,88806
Drosophilidae,Drosophila,Drosophila suzukii,FALSE,0,252314
Drosophilidae,Scaptodrosophila,Scaptodrosophila lattivitata,TRUE,6,11028151
Ectopsocidae,Ectopsocus,Ectopsocus meridionalis,FALSE,0,20
Elateridae,Alaus,Alaus melanops,FALSE,0,60315
Elateridae,Conoderus,Conoderus exsul,FALSE,0,1625183
Ephydridae,Hydrellia,Hydrellia tritici,TRUE,24,51635
Figitidae,Leptopilina,Leptopilina boulardi,FALSE,0,758
Formicidae,Iridomyrmex,Iridomyrmex anceps,TRUE,594,10669
Formicidae,Iridomyrmex,Iridomyrmex suchieri,TRUE,1156,14650
Formicidae,Nylanderia,Nylanderia tasmaniensis,TRUE,19,31658
Formicidae,Nylanderia,Nylanderia tasmaniensis/braueri,FALSE,0,153
Formicidae,Rhytidoponera,Rhytidoponera metallica,TRUE,3027,653
Geometridae,Zermizinga,Zermizinga sinuata,TRUE,71,1196
Gryllidae,Teleogryllus,Teleogryllus commodus,TRUE,55,7
Hemerobiidae,Micromus,Micromus tasmaniae,TRUE,448,491986
Linyphiidae,Tenuiphantes,Tenuiphantes tenuis,FALSE,0,17
Lonchaeidae,Lamprolonchaea,Lamprolonchaea brouniana,TRUE,29,2137
Nitidulidae,Brachypeplus,Brachypeplus Sp,TRUE,172,258390
Nitidulidae,Carpophilus,Carpophilus davidsoni,TRUE,2,3572563
Nitidulidae,Carpophilus,Carpophilus hemipterus,TRUE,82,223186
Nitidulidae,Epuraea,Epuraea signata,FALSE,0,31
Nitidulidae,Urophorus,Urophorus humeralis,TRUE,180,647977
Oxycarenidae,Oxycarenus,Oxycarenus luctuosus,TRUE,32,168
Pemphigidae,Tetraneura,Tetraneura nigriabdominalis,FALSE,0,4592
Phoridae,Megaselia,Megaselia spiracularis,TRUE,4,433
Sarcophagidae,Sarcophaga,Sarcophaga assimilis,TRUE,1,1428352
Sarcophagidae,Sarcophaga,Sarcophaga furcata,FALSE,0,2482
Scatopsidae,Coboldia,Coboldia fuscipes,FALSE,0,928968
Simuliidae,Simulium,Simulium ornatipes,TRUE,11,2946
Staphylinidae,Paraphloeostiba,Paraphloeostiba gayndahensis,TRUE,4,33922
Tephritidae,Bactrocera,Bactrocera tryoni,TRUE,465,1548670
Thripidae,Frankliniella,Frankliniella schultzei,TRUE,143,272
Thripidae,Thrips,Thrips tabaci,TRUE,54,17
Tortricidae,Epiphyas,Epiphyas postvittana,TRUE,110,3529151
Trogiidae,Cerobasis,Cerobasis guestfalica,TRUE,7,9
