"","Species","CB3DR_fwhF2-fwhR2n-D100M1","CB3DR_fwhF2-fwhR2n-D100M2","CB3DR_fwhF2-fwhR2n-D100M3","CB3DR_fwhF2-fwhR2n-D100M4","CB3DR_fwhF2-fwhR2n-D100M5","CB3DR_fwhF2-fwhR2n-DM0-FF","CB3DR_fwhF2-fwhR2n-DM10-FF","CB3DR_fwhF2-fwhR2n-DM10-SPD","CB3DR_fwhF2-fwhR2n-DM6-SPD","CB3DR_fwhF2-fwhR2n-extblank1","CB3DR_fwhF2-fwhR2n-extblank2","CB3DR_fwhF2-fwhR2n-extblank3"
"1","Anthrenus sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,264
"2","Apis mellifera",NA,NA,NA,NA,NA,NA,NA,328,NA,47,6,NA
"3","Brachypeplus Sp",NA,NA,NA,NA,NA,NA,4,5,1376,NA,42807,17471
"4","Bradysia impatiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,5
"5","Caliroa cerasi",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"6","Carpophilus davidsoni",NA,NA,2,NA,NA,26278,8526,994,148,106,4361,224
"7","Carpophilus hemipterus",NA,NA,NA,NA,NA,NA,NA,4,314,NA,7875,4082
"8","Carpophilus truncatus",NA,NA,NA,NA,NA,NA,NA,20,253,NA,8187,3193
"9","Coboldia fuscipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"10","Dendrolaelaps longiusculus",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"11","Drosophila biarmipes",NA,NA,624,50,488,NA,NA,NA,NA,449,NA,107
"12","Drosophila hydei",12517,20612,47511,284,3605,4,NA,1040,526,22737,NA,8417
"13","Drosophila immigrans",35,28820,1808,6481,26790,20,NA,5693,23017,7742,56,6036
"14","Drosophila melanogaster",39403,37404,10524,21800,4140,NA,NA,38,2734,27754,20,18557
"15","Drosophila simulans",46528,6071,13283,5974,29787,19,8126,7009,5935,12894,152,17585
"16","Drosophila subpulchrella",13,4028,4648,3321,37,NA,NA,NA,76,6439,NA,1553
"17","Drosophila sulfurigaster",NA,176,15,247,1019,NA,NA,NA,NA,226,NA,157
"18","Drosophila suzukii",NA,NA,NA,12453,11064,NA,NA,NA,NA,7654,NA,1821
"19","Elachista synethes",NA,NA,2,NA,NA,NA,NA,746,7,35,NA,NA
"20","Epuraea signata",NA,NA,NA,NA,NA,28516,57554,37,15,78,600,NA
"21","Hydrellia tritici",NA,NA,NA,NA,NA,NA,NA,9,361,24,NA,228
"22","Mallada signatus",NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,19
"23","Micromus tasmaniae",NA,NA,NA,NA,NA,NA,NA,47,3110,18,NA,176
"24","Paraphloeostiba gayndahensis",NA,NA,NA,NA,NA,NA,1084,302,185,NA,28,NA
"25","Polyrhachis vigilans",NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA
"26","Scaptodrosophila kirki",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,169
"27","Scaptodrosophila lattivitata",17122,7119,35410,43022,426,123825,59624,143501,54502,69703,1576,18698
"28","Technomyrmex jocosus",NA,NA,4,NA,NA,NA,NA,582,NA,27,NA,NA
"29","Urophorus humeralis",4,NA,17,NA,NA,NA,8,33862,677,344,70803,5361
